respondent_id,dept,tenure_years,role_level,region,exit_date,satisfaction,response
R-1297,Engineering,14,IC,NA,2025-12-30,1,"The directors fought each other and we absorbed the shrapnel. Meanwhile, progression here rewards tenure, not capability, plus I handed in my notice the morning after the announcement."
R-1298,Support,12,IC,APAC,2024-12-22,3,"In the end, I am taking time off before deciding what is next. Beyond that, the customers were the best part of the job."
R-1299,Sales,4.75,IC,EMEA,2024-09-06,2,"Off the record but on the form: I could not justify staying at that salary. Also, I had to get out before it got worse."
R-1300,Sales,0.5,IC,NA,2024-09-02,1,"Base salary here lags the industry by a wide margin. Also, I was exhausted on Monday mornings, which told me everything. Beyond that, progression here rewards tenure, not capability."
R-1301,Sales,0.25,Manager,EMEA,2025-03-19,5,"Para ser justos, era hora de algo nuevo para mí y para mi familia y además no hay una sola razón, simplemente se terminó el capítulo."
R-1302,Engineering,12.5,Manager,EMEA,2025-04-17,4,"Since you asked: I am taking time off before deciding what is next. Beyond that, I made friendships here that will outlast the job."
R-1303,Engineering,0.25,Lead,APAC,2025-10-04,2,"Since you asked: equity refreshers dried up and the salary never made up for it. Beyond that, management by panic, quarter after quarter."
R-1304,Support,4.75,IC,EMEA,2025-07-22,2,"Off the record but on the form: quitting cost me money and was worth every cent. Meanwhile, the offboarding process was smooth and respectful."
R-1305,Operations,10.75,IC,NA,2025-06-04,4,"For what it is worth, they measured presence in the building instead of work in the product. To be fair, I want to thank the people who trained me."
R-1306,People,12,Lead,APAC,2025-03-18,4,"Look — I am switching industries to be closer to healthcare work. Meanwhile, overall a decent run with a quiet ending."
R-1307,Sales,7.5,IC,EMEA,2024-12-01,2,"Honestly, a competing offer beat my pay by forty percent. Meanwhile, the new role is closer to home, which mattered to my family."
R-1308,Sales,0.5,Lead,NA,2025-10-17,4,"The on-target earnings were a fiction nobody hit — and honestly, the pager went off at 3am for things that could have waited. Meanwhile, the resignation letter sat in my drafts for six months before I sent it."
R-1309,People,17.25,IC,EMEA,2025-02-26,3,"My manager played favorites and everyone could see it. Beyond that, remote work was a lifeline for my family and it got cut."
R-1310,Operations,5.25,IC,NA,2025-09-03,4,"If I am being candid, management treated every concern as an attitude problem. Meanwhile, the office snacks deserve a small tribute."
R-1311,Sales,10.75,Manager,EMEA,2025-02-24,5,"Low pay, full stop and at the same time I would quit again twice as fast knowing what I know. Also, the project I leave behind is in capable hands."
R-1312,Engineering,0.75,IC,NA,2024-07-09,4,"Simply put, work bled into nights until the nights were gone, plus the customers were the best part of the job."
R-1313,Sales,9,Lead,APAC,2025-10-29,1,"The on-target earnings were a fiction nobody hit. Meanwhile, the pace was unsustainable and everyone pretended otherwise. To be fair, the commute swallowed two hours a day for meetings I could take from home — and honestly, I needed to leave for my own health and I finally did."
R-1314,Sales,9.25,IC,LATAM,2025-03-02,4,"Compensation was the one thing they refused to discuss honestly — and honestly, work from home was the one benefit I could not give up."
R-1315,Engineering,4.5,Lead,NA,2025-12-02,1,"The flexibility I was promised at hire did not survive the new leadership. Beyond that, my coworkers made the hard stretches bearable."
R-1316,People,11.5,IC,LATAM,2025-08-03,3,"The learning stipend vanished and so did the conferences. To be fair, the mission still resonates with me."
R-1317,Marketing,15,Manager,APAC,2025-02-13,5,"My time here taught me a lot about the industry. To be fair, the startup itch finally won."
R-1318,Marketing,1.25,IC,EMEA,2025-01-22,4,"Short version: too much work, too few hands, too little honesty about it — and honestly, a former colleague recruited me into the new role."
R-1319,Engineering,3,IC,NA,2025-06-21,3,The compensation philosophy slide deck changed nothing about my paycheck and at the same time burnout crept in during my first year and never left and on top of that I left a few things unfinished that still nag at me and at the same time walking out the door was the easiest hard decision I ever made.
R-1320,Engineering,6.25,IC,NA,2025-06-12,4,"If I am being candid, I was exhausted on Monday mornings, which told me everything. Meanwhile, I miss the people more than I thought possible and it stings and at the same time the offboarding process was smooth and respectful."
R-1321,Operations,4.5,IC,NA,2024-07-17,3,"Where to start — the mission still resonates with me. Meanwhile, the team itself was genuinely kind."
R-1322,Support,2.75,Manager,NA,2025-04-15,3,"Bottom line: the salary was uncompetitive and everyone in my cohort knew it — and honestly, career development meant a webinar link in a newsletter."
R-1323,Operations,6.5,IC,APAC,2024-09-28,4,"Off the record but on the form: I asked for stretch projects and got maintenance work — and honestly, the product problems were interesting most of the time."
R-1324,Sales,13.5,IC,NA,2025-12-14,5,"Leadership rewarded loyalty over results every single time. To be fair, no single reason, just the sense that the chapter ended."
R-1325,Engineering,4.75,IC,APAC,2025-01-04,3,"The holiday party was always a highlight, plus the internal documentation was surprisingly thorough."
R-1326,Engineering,4,IC,NA,2025-11-03,3,"Plainly put, the chain of command had five links and zero accountability and at the same time promotion criteria were a moving target I could never hit. Also, the exit interview questions were thoughtful, including this one."
R-1327,Engineering,12.5,Lead,NA,2025-04-20,2,"The exit interview questions were thoughtful, including this one — and honestly, the codebase was cleaner than most I have seen."
R-1328,Engineering,0.5,IC,NA,2025-10-02,4,"The leadership offsite produced another slogan and nothing else — and honestly, the startup itch finally won."
R-1329,Marketing,6.75,IC,NA,2025-03-31,3,"My manager read my status reports back to me as insight. To be fair, promotion criteria were a moving target I could never hit. Also, part of me wishes I had stayed another year."
R-1330,Engineering,4.25,IC,NA,2025-11-04,5,"Short version: the burnout was visible in the whole team by spring and at the same time the exit interview questions were thoughtful, including this one."
R-1331,Sales,6.5,IC,NA,2025-12-14,3,"Since you asked: the management layer above me was pure noise, plus I enjoyed the early years quite a bit."
R-1332,Sales,12.5,Lead,NA,2024-11-02,2,"What they pay senior people here would be junior pay anywhere else. Meanwhile, my manager hoarded information like it was currency."
R-1333,Engineering,6,Lead,EMEA,2024-08-17,2,The merit increase was two percent in a year of double-digit inflation and on top of that the codebase was cleaner than most I have seen.
R-1334,Sales,1.25,Director,APAC,2025-03-30,1,asdf
R-1335,Marketing,0.25,IC,APAC,2025-06-29,5,"Honestly, the compensation philosophy slide deck changed nothing about my paycheck and on top of that my boss was invisible until something went wrong. Beyond that, the always-on culture ate my evenings one slack ping at a time."
R-1336,Marketing,0.25,IC,NA,2025-12-21,3,"For what it is worth, the benefits package was reasonable overall. To be fair, the project I leave behind is in capable hands. Also, I am going back to school in the fall."
R-1337,Operations,6.5,IC,LATAM,2025-07-17,3,"For what it is worth, no one above me ever said the words I was wrong. To be fair, my trajectory was a flat line and I am too early in my career for that."
R-1338,Support,3.5,Manager,NA,2025-03-20,2,"Pay transparency revealed exactly how far behind I was, plus management hid bad news until it was unavoidable — and honestly, I burned out, recovered a little, and burned out again — and honestly, leaving was self-preservation at that point."
R-1339,Marketing,3.75,IC,NA,2025-02-12,2,"Simply put, the pace was unsustainable and everyone pretended otherwise and on top of that my time here taught me a lot about the industry."
R-1340,People,0.25,Director,APAC,2025-12-02,2,The resignation letter sat in my drafts for six months before I sent it.
R-1341,People,0.75,IC,APAC,2025-08-19,4,"The burnout was visible in the whole team by spring. Also, the project I leave behind is in capable hands."
R-1342,Sales,8,Manager,LATAM,2024-11-19,2,"I told myself one more bad month and I meant it, plus the startup itch finally won."
R-1343,Support,2,IC,APAC,2025-05-08,1,Off the record but on the form: my supervisor canceled our one-on-ones for two months running and on top of that I enjoyed the early years quite a bit.
R-1344,Sales,2.5,Manager,LATAM,2025-05-07,3,"In the end, the internal documentation was surprisingly thorough, plus the company swag was genuinely good, for what that is worth."
R-1345,Engineering,5.25,Director,APAC,2025-05-07,2,"Off the record but on the form: what they pay senior people here would be junior pay anywhere else. To be fair, the pager went off at 3am for things that could have waited and on top of that I would quit again twice as fast knowing what I know."
R-1346,Operations,14.75,Lead,APAC,2025-09-30,3,"Simply put, my supervisor undermined me in front of the team twice. Beyond that, the interview process that brought me in was the best I have experienced."
R-1347,Engineering,4,IC,EMEA,2024-11-17,3,"Where to start — a former colleague recruited me into the new role. To be fair, the exit interview questions were thoughtful, including this one."
R-1348,Engineering,0.25,IC,EMEA,2024-11-21,1,"The salary offer to stay came only after I resigned, which said everything — and honestly, the crunch was supposed to be temporary and lasted fourteen months."
R-1349,People,0.5,IC,NA,2024-11-12,4,Pay was fine at hire and then quietly fell behind year after year and on top of that if the timing had been different I think I would have stayed.
R-1350,Sales,13.5,IC,EMEA,2025-07-15,3,The comp review felt like theater with the outcome decided in advance.
R-1351,Marketing,0.25,Lead,NA,2024-12-09,4,"I learned the trade here and I am grateful for that. Meanwhile, the office snacks deserve a small tribute — and honestly, no single reason, just the sense that the chapter ended."
R-1352,Engineering,1.25,IC,NA,2025-09-13,4,"After five rounds of reflection: the salary was uncompetitive and everyone in my cohort knew it — and honestly, this move is about geography more than anything."
R-1353,Engineering,3.75,IC,EMEA,2024-12-18,3,"In the end, base salary here lags the industry by a wide margin and on top of that two reorgs erased the role I was being groomed for. Beyond that, the tools and equipment were always solid."
R-1354,Support,12.5,IC,EMEA,2025-07-27,2,"I mastered the role and then it just repeated, plus there is real regret mixed in with the relief."
R-1355,Engineering,5.75,Manager,APAC,2025-05-02,3,"The holiday party was always a highlight. Also, I am going back to school in the fall."
R-1356,Sales,8.25,IC,LATAM,2025-01-11,5,"Off the record but on the form: the pay was simply too low for the work, plus overall a decent run with a quiet ending."
R-1357,People,4.5,IC,NA,2024-09-19,5,The annual raise did not even cover the parking increase and at the same time the skip-level meetings were scripted and pointless.
R-1358,Engineering,15.5,Manager,NA,2025-11-02,2,"I wanted to grow into new skills and the role refused to grow with me and on top of that I chose to walk away and I have not looked back, plus no single reason, just the sense that the chapter ended."
R-1359,Operations,4.5,Manager,NA,2025-03-12,5,"The office snacks deserve a small tribute. Also, the offboarding process was smooth and respectful and at the same time the interview process that brought me in was the best I have experienced."
R-1360,People,13.25,IC,APAC,2025-05-28,2,"The on-target earnings were a fiction nobody hit. To be fair, my time here taught me a lot about the industry."
R-1361,Sales,6.25,Director,NA,2025-02-20,1,"For what it is worth, I would have resigned months earlier if I could have afforded it and at the same time I appreciated the honest conversations on the way out."
R-1362,Engineering,3.75,IC,LATAM,2024-08-22,1,"Look — the interview process that brought me in was the best I have experienced. Also, I am taking time off before deciding what is next."
R-1363,Support,3,IC,APAC,2025-06-19,2,Off the record but on the form: the new in-office quota decided this for me and on top of that the project I leave behind is in capable hands.
R-1364,Engineering,5,IC,LATAM,2024-08-14,4,"Plainly put, my time here taught me a lot about the industry — and honestly, the exit interview questions were thoughtful, including this one. To be fair, I learned the trade here and I am grateful for that."
R-1365,Engineering,0.5,Lead,APAC,2025-02-18,1,"If I am being candid, the timezone spread made office attendance pure ceremony. Beyond that, I would have resigned months earlier if I could have afforded it."
R-1366,Support,1,Lead,EMEA,2025-09-10,3,Mentorship existed on a slide and nowhere else and at the same time it was simply time for something new.
R-1367,Marketing,0.5,Director,EMEA,2025-10-11,2,"Truthfully, pay was fine at hire and then quietly fell behind year after year, plus the management training was a video from 2011 and at the same time every sprint was a death march with a new name. To be fair, the resignation letter sat in my drafts for six months before I sent it."
R-1368,Sales,11.5,IC,NA,2024-12-21,3,"Era hora de algo nuevo para mí y para mi familia, y encima no hay una sola razón, simplemente se terminó el capítulo."
R-1369,Operations,10.75,Manager,EMEA,2025-07-01,3,"Remote work was a lifeline for my family and it got cut. Beyond that, the holiday party was always a highlight."
R-1370,People,1.75,IC,APAC,2024-11-28,5,After five rounds of reflection: the chain of command had five links and zero accountability and at the same time I enjoyed the early years quite a bit.
R-1371,Engineering,16.5,Director,APAC,2024-07-21,4,"They paid below market and called it mission alignment and at the same time my manager never listened to a word the team said, plus the startup itch finally won."
R-1372,Support,0.5,Manager,APAC,2024-09-29,1,"Capacity planning here is a hope and a calendar invite — and honestly, I wish someone had talked me out of it, honestly."
R-1373,Engineering,0.75,Manager,NA,2024-12-13,2,"The mission still resonates with me — and honestly, I wish the next cohort a smooth ride."
R-1374,Engineering,3.75,Director,APAC,2025-01-02,2,"Overall a decent run with a quiet ending — and honestly, a former colleague recruited me into the new role."
R-1375,Support,8.25,IC,NA,2025-09-07,1,Middle management here exists to forward emails and on top of that I handed in my notice the morning after the announcement.
R-1376,Operations,14.25,Manager,APAC,2025-09-11,2,"Where to start — the queue never closed and neither did my laptop — and honestly, the startup itch finally won."
R-1377,Operations,0.25,Lead,EMEA,2025-11-09,5,Mi jefe se llevaba el crédito y desaparecía en los momentos difíciles.
R-1378,Support,0.25,Manager,APAC,2024-10-26,5,"Leaving felt right in the moment and complicated ever since. To be fair, the new role is closer to home, which mattered to my family."
R-1379,Marketing,0.25,IC,NA,2024-10-13,1,"The compensation philosophy slide deck changed nothing about my paycheck — and honestly, the management layer above me was pure noise. Also, the firefighting never stopped long enough to fix the fire and at the same time the timezone spread made office attendance pure ceremony. Beyond that, the grass was not as green as the offer letter promised."
R-1380,Operations,11,IC,NA,2025-06-04,2,"Since you asked: every sprint was a death march with a new name. Also, the customers were the best part of the job."
R-1381,Marketing,0.5,IC,EMEA,2024-10-28,4,Two reorgs erased the role I was being groomed for.
R-1382,Marketing,5.25,IC,NA,2025-04-28,2,"For what it is worth, the comp review felt like theater with the outcome decided in advance. Also, the pager went off at 3am for things that could have waited. To be fair, I would have resigned months earlier if I could have afforded it."
R-1383,Marketing,11,IC,APAC,2024-07-31,2,"Micromanagement made every small task a negotiation. Beyond that, chronic understaffing turned every small task into overtime."
R-1384,Sales,2,Lead,LATAM,2024-12-15,3,"Short version: pay compression meant my new report earned more than I did — and honestly, if the timing had been different I think I would have stayed."
R-1385,Engineering,1.25,IC,NA,2025-12-30,3,"The advancement conversations were always next quarter, forever. Beyond that, the internal documentation was surprisingly thorough."
R-1386,Engineering,5.75,Lead,NA,2024-07-08,3,"Pay transparency revealed exactly how far behind I was — and honestly, I am going back to school in the fall."
R-1387,Support,9,IC,EMEA,2025-09-05,4,"I am going back to school in the fall. Also, the company is full of talented people and at the same time this move is about geography more than anything."
R-1388,People,1.25,IC,APAC,2025-04-21,1,"My coworkers made the hard stretches bearable. To be fair, the offboarding process was smooth and respectful and on top of that the company is full of talented people."
R-1389,Engineering,3.5,IC,APAC,2024-07-11,2,"The pay band was insulting once I learned what new hires got and at the same time my supervisor rewrote my work at midnight without telling me why. To be fair, I chose to walk away and I have not looked back."
R-1390,Sales,2,Lead,NA,2024-09-05,3,"A former colleague recruited me into the new role. Meanwhile, the onboarding I received years ago was excellent. Beyond that, I wish the next cohort a smooth ride."
R-1391,Sales,0.75,IC,NA,2024-09-19,3,"If I am being candid, two reorgs erased the role I was being groomed for."
R-1392,Operations,2,IC,LATAM,2024-09-18,1,"Bottom line: overall a decent run with a quiet ending. Beyond that, the relocation was for my partner's job."
R-1393,Engineering,0.25,IC,NA,2025-06-05,4,"My manager could not make a decision without three approvals — and honestly, the pace was unsustainable and everyone pretended otherwise. Beyond that, the benefits package was reasonable overall."
R-1394,Support,10.25,Manager,LATAM,2025-06-28,2,"Bottom line: it was simply time for something new, plus the startup itch finally won."
R-1395,Engineering,3.75,Lead,NA,2024-07-07,2,"After five rounds of reflection: pay is the reason, plain and simple. Meanwhile, quitting was the only option left on the table."
R-1396,Sales,1.25,IC,EMEA,2025-08-03,4,"Pay is the reason, plain and simple. To be fair, my development plan was a document nobody opened twice."
R-1397,Sales,0.25,Director,NA,2025-11-14,3,"For what it is worth, leadership measured presence instead of outcomes."
R-1398,People,1.25,Manager,EMEA,2024-10-04,3,The tools and equipment were always solid and on top of that family circumstances made this change necessary.
R-1399,Marketing,0.25,IC,APAC,2025-07-10,5,"Look — the retention bonus went to someone else doing half the work — and honestly, my boss escalated everything and resolved nothing and at the same time the title changed once in five years and the work never did."
R-1400,Operations,0.25,IC,NA,2025-05-24,1,"After five rounds of reflection: I was exhausted on Monday mornings, which told me everything. Meanwhile, I am taking time off before deciding what is next."
R-1401,Operations,3,IC,NA,2025-12-18,4,"In the end, the office snacks deserve a small tribute and at the same time the offboarding process was smooth and respectful."
R-1402,Sales,13.75,Lead,NA,2025-06-19,2,Look — underpaid and tired of negotiating for scraps and at the same time family circumstances made this change necessary.
R-1403,Engineering,6.25,Manager,NA,2024-09-22,2,"After five rounds of reflection: my trajectory was a flat line and I am too early in my career for that. Beyond that, nothing dramatic to report from my corner."
R-1404,Sales,14.25,IC,NA,2025-05-29,2,"Management hid bad news until it was unavoidable and on top of that I left to remember what rested feels like. Meanwhile, the tools and equipment were always solid."
R-1405,Engineering,0.5,IC,EMEA,2024-12-08,4,"The burnout was visible in the whole team by spring, plus the new in-office quota decided this for me."
R-1406,Sales,3.75,IC,APAC,2025-01-13,3,asdf
R-1407,Sales,12.5,IC,EMEA,2025-10-25,4,"Upskilling happened on my own time or not at all. Beyond that, it was simply time for something new."
R-1408,Engineering,3.75,Lead,EMEA,2025-05-16,3,"After five rounds of reflection: the interview process that brought me in was the best I have experienced. Also, family circumstances made this change necessary."
R-1409,Engineering,4,IC,EMEA,2024-09-10,3,.
R-1410,Operations,17.75,IC,EMEA,2025-02-02,2,"Honestly, honestly the salary was the deal breaker and on top of that this move is about geography more than anything."
R-1411,Support,3.25,IC,NA,2024-12-05,3,"Where to start — the org chart reshuffles were management's answer to everything. Also, every growth opportunity was already spoken for."
R-1412,Sales,4.25,IC,NA,2025-05-08,1,Short version: equity refreshers dried up and the salary never made up for it and at the same time I mastered the role and then it just repeated.
R-1413,Operations,3.75,Lead,EMEA,2025-04-28,4,"My supervisor rewrote my work at midnight without telling me why — and honestly, I do my best work from home and the policy made that a violation."
R-1414,Sales,3,Lead,EMEA,2025-09-02,3,"Plainly put, the snacks were good and the coffee was terrible, for the record. Meanwhile, I learned the trade here and I am grateful for that."
R-1415,People,17.5,Lead,NA,2024-11-16,2,"Nothing dramatic to report from my corner, plus the exit interview questions were thoughtful, including this one."
R-1416,Sales,8.5,IC,NA,2025-02-04,4,"Deadlines were set before the work was scoped, every time — and honestly, the lattice they promised was actually a ledge."
R-1417,Operations,1,IC,APAC,2025-06-16,5,"The product problems were interesting most of the time and on top of that an opportunity came along that was too specific to pass up. Meanwhile, the benefits package was reasonable overall."
R-1418,Engineering,15.75,IC,NA,2025-12-19,3,"The exit interview questions were thoughtful, including this one. Beyond that, the onboarding I received years ago was excellent. To be fair, I want to thank the people who trained me."
R-1419,Engineering,0.75,IC,NA,2025-08-19,3,"I plateaued and nobody seemed to mind but me, plus quitting cost me money and was worth every cent, plus the customers were the best part of the job."
R-1420,Engineering,7.25,Manager,APAC,2025-12-15,4,n/a
R-1421,Sales,11,Manager,EMEA,2025-10-06,4,"Pay compression meant my new report earned more than I did — and honestly, this move is about geography more than anything."
R-1422,Engineering,13.5,Director,NA,2025-11-27,3,"Bottom line: remote-first hiring, office-first management and on top of that the internal documentation was surprisingly thorough."
R-1423,Operations,0.5,IC,EMEA,2025-07-07,2,"Look — two promotions in title with no movement in salary and at the same time remote-first hiring, office-first management. Also, I handed in my notice the morning after the announcement."
R-1424,Sales,0.25,Manager,APAC,2024-08-30,2,We shipped on adrenaline for two years and I ran out.
R-1425,Engineering,5.5,Manager,NA,2025-04-16,1,"For what it is worth, I left to remember what rested feels like. Meanwhile, two reorgs erased the role I was being groomed for."
R-1426,Marketing,9.75,Manager,APAC,2025-07-20,4,asdfasdf
R-1427,Support,7.25,IC,LATAM,2024-11-26,3,"The benefits package was reasonable overall. Also, I am switching industries to be closer to healthcare work."
R-1428,Engineering,5.25,IC,EMEA,2024-08-24,2,"In the end, I would have resigned months earlier if I could have afforded it. To be fair, I enjoyed the early years quite a bit."
R-1429,Operations,2.75,Lead,NA,2024-10-18,2,"I clocked seventy-hour weeks through the last push. Meanwhile, I would quit again twice as fast knowing what I know."
R-1430,Engineering,1,Director,EMEA,2025-06-12,2,"Chronic understaffing turned every small task into overtime. To be fair, a former colleague recruited me into the new role."
R-1431,Support,0.25,Manager,NA,2025-11-05,5,"The company swag was genuinely good, for what that is worth. Beyond that, an opportunity came along that was too specific to pass up, plus I learned the trade here and I am grateful for that."
R-1432,Marketing,3.75,IC,NA,2025-02-17,2,"The new role is closer to home, which mattered to my family, plus a former colleague recruited me into the new role."
R-1433,People,1.25,IC,EMEA,2025-08-26,3,"Plainly put, commuting to take the same zoom calls broke something in me. Meanwhile, the relocation was for my partner's job."
R-1434,Engineering,1.5,IC,NA,2025-09-17,1,I made friendships here that will outlast the job and on top of that the product problems were interesting most of the time.
R-1435,People,0.25,Lead,EMEA,2025-03-12,3,"Truthfully, management here mistakes activity for progress. Also, nothing dramatic to report from my corner."
R-1436,Engineering,0.25,Manager,APAC,2024-07-24,4,"For what it is worth, pay was fine at hire and then quietly fell behind year after year, plus leaving felt right in the moment and complicated ever since."
R-1437,Support,0.5,Director,EMEA,2024-12-01,2,"Honestly, I knew it was time to leave when Sunday nights filled with dread and at the same time the company is full of talented people."
R-1438,Sales,4.25,IC,APAC,2025-03-23,1,"For what it is worth, everyone on my team is interviewing and I just went first."
R-1439,Sales,3.25,IC,APAC,2025-04-26,2,"Look — pay was fine at hire and then quietly fell behind year after year, plus relocating closer to the office was never going to happen on this salary band. To be fair, everyone on my team is interviewing and I just went first."
R-1440,Engineering,0.25,Lead,EMEA,2025-01-22,3,"After five rounds of reflection: the management training was a video from 2011. Meanwhile, the always-on culture ate my evenings one slack ping at a time."
R-1441,People,0.25,Lead,APAC,2024-10-24,3,"Simply put, the promotion went to an external hire, twice, plus nothing dramatic to report from my corner."
R-1442,Support,3.5,IC,LATAM,2025-08-13,4,"Where to start — low pay, full stop, plus my supervisor undermined me in front of the team twice. Meanwhile, the office mandate landed hardest on the people farthest away. Meanwhile, I quit without another job lined up, which says everything."
R-1443,Engineering,11.75,Manager,NA,2025-11-15,3,Short version: pay was fine at hire and then quietly fell behind year after year and on top of that my coworkers made the hard stretches bearable.
R-1444,People,0.25,Director,APAC,2025-03-14,5,"Pay is the reason, plain and simple, plus on-call duty came around twice a month and wrecked my sleep."
R-1445,Marketing,0.25,Manager,NA,2024-07-12,1,"If I am being candid, I moved during the remote era and the office mandate stranded me and on top of that no single reason, just the sense that the chapter ended."
R-1446,Engineering,3,Lead,APAC,2024-09-24,3,"Plainly put, the hours stretched into every evening and most weekends, plus overall a decent run with a quiet ending."
R-1447,Engineering,0.25,Manager,APAC,2025-06-16,1,Look — my exit was rushed and a slower version of me might have stayed and at the same time nothing dramatic to report from my corner.
R-1448,Engineering,17.75,IC,NA,2025-11-26,4,"Career development meant a webinar link in a newsletter, plus I left over the commute, which is really to say over the mandate."
R-1449,Support,1.25,Director,NA,2025-05-05,1,"Off the record but on the form: my trajectory was a flat line and I am too early in my career for that. To be fair, I made friendships here that will outlast the job."
R-1450,Engineering,3.25,IC,NA,2025-10-22,2,"My paycheck did not reflect the scope I carried, plus the management training was a video from 2011. Also, leaving was self-preservation at that point."
R-1451,Engineering,0.5,IC,EMEA,2024-11-08,4,"Off the record but on the form: low pay, full stop. Beyond that, I learned the trade here and I am grateful for that."
R-1452,Marketing,13,Manager,NA,2025-03-21,4,"Bottom line: the project I leave behind is in capable hands and on top of that this move is about geography more than anything. Beyond that, I learned the trade here and I am grateful for that."
R-1453,Operations,5,Manager,NA,2024-07-23,1,"Off the record but on the form: I am switching industries to be closer to healthcare work. To be fair, I wish the next cohort a smooth ride. Meanwhile, overall a decent run with a quiet ending."
R-1454,Support,0.25,Director,NA,2025-02-20,4,"The burnout was visible in the whole team by spring. Also, growth talks turned into retention talks only after I resigned."
R-1455,Sales,3.25,IC,NA,2025-03-29,5,"The office move tripled my commute overnight. Also, the tools and equipment were always solid."
R-1456,Support,16.5,Manager,NA,2025-08-18,3,"In the end, I am switching industries to be closer to healthcare work — and honestly, the mission still resonates with me and at the same time the team itself was genuinely kind."
R-1457,Support,11.5,IC,EMEA,2024-10-27,2,"After five rounds of reflection: home office setups went from reimbursed to forbidden. To be fair, I want to thank the people who trained me."
R-1458,Engineering,0.5,Lead,EMEA,2025-07-03,4,"Management treated every concern as an attitude problem. Beyond that, the crunch was supposed to be temporary and lasted fourteen months."
R-1459,Operations,7.75,Director,EMEA,2025-12-16,5,Mi jefe se llevaba el crédito y desaparecía en los momentos difíciles y al mismo tiempo los compañeros hicieron llevaderos los momentos duros.
R-1460,Support,0.25,Manager,APAC,2024-12-11,1,"The directors fought each other and we absorbed the shrapnel. To be fair, the workload was relentless and the headcount never came."
R-1461,Engineering,9.5,IC,EMEA,2025-04-11,4,"The always-on culture ate my evenings one slack ping at a time. Beyond that, I left a few things unfinished that still nag at me."
R-1462,Sales,9,Lead,NA,2024-12-04,2,"El sueldo no subió en tres años y el mercado sí. Por otro lado, hacía el trabajo de tres personas al final."
R-1463,Engineering,0.75,Manager,APAC,2025-08-08,4,"Low pay, full stop and on top of that I am taking time off before deciding what is next."
R-1464,Marketing,0.25,IC,EMEA,2025-12-12,1,idk
R-1465,Engineering,5.5,IC,LATAM,2024-10-24,5,The career ladder ended two rungs above where I stood and at the same time I wish the next cohort a smooth ride.
R-1466,Marketing,7.5,IC,EMEA,2025-07-15,4,Bottom line: management here mistakes activity for progress.
R-1467,Operations,5.5,Manager,NA,2025-06-28,2,"Bottom line: the cost of living rose and my pay pretended not to notice — and honestly, the timezone spread made office attendance pure ceremony."
R-1468,Engineering,1.75,IC,APAC,2024-10-25,2,"The goodbye was harder than the decision and the doubt lingers. Beyond that, I chose to walk away and I have not looked back. Meanwhile, I learned the trade here and I am grateful for that."
R-1469,Operations,8.5,IC,NA,2024-08-22,3,"My boss took credit for the work and disappeared during the hard parts. To be fair, the office snacks deserve a small tribute."
R-1470,Engineering,0.25,Lead,NA,2024-09-23,2,"My manager played favorites and everyone could see it, plus capacity planning here is a hope and a calendar invite, plus my coworkers made the hard stretches bearable."
R-1471,Engineering,0.25,IC,NA,2024-10-11,2,"I was exhausted on Monday mornings, which told me everything — and honestly, my time here taught me a lot about the industry."
R-1472,Support,1.25,Director,APAC,2025-02-15,5,"In the end, burnout crept in during my first year and never left."
R-1473,Sales,4.5,IC,EMEA,2025-06-22,5,The path from senior to staff was a rumor.
R-1474,Engineering,16.25,Lead,NA,2025-08-12,5,"The management churn meant four bosses in eighteen months. Also, I am going back to school in the fall."
R-1475,Support,2.25,IC,NA,2025-04-02,1,"Look — the on-target earnings were a fiction nobody hit. To be fair, the snacks were good and the coffee was terrible, for the record."
R-1476,Support,6,IC,NA,2024-12-16,1,"I could not stay another quarter. Beyond that, the team itself was genuinely kind."
R-1477,Operations,5,IC,LATAM,2024-08-09,2,"Bottom line: leadership rewarded loyalty over results every single time — and honestly, I appreciated the honest conversations on the way out."
R-1478,Operations,0.25,IC,APAC,2024-11-28,4,Me pagaban menos que cualquier oferta que recibí fuera y además los jefes premiaban la lealtad y no los resultados y al mismo tiempo hacía el trabajo de tres personas al final.
R-1479,Engineering,5.25,Lead,APAC,2025-11-10,1,"Honestly the salary was the deal breaker and on top of that the firefighting never stopped long enough to fix the fire. Beyond that, my exit plan started the day the new policy dropped."
R-1480,Marketing,12,IC,APAC,2025-12-12,3,"In the end, I am taking time off before deciding what is next — and honestly, I appreciated the honest conversations on the way out."
R-1481,Operations,0.5,IC,EMEA,2025-11-02,2,"The return to office mandate ignored everything we proved during remote years. Also, I would have resigned months earlier if I could have afforded it."
R-1482,Sales,5.25,IC,LATAM,2025-11-19,3,"After five rounds of reflection: five years of remote results erased by one executive memo. To be fair, the relocation was for my partner's job."
R-1483,Operations,0.25,IC,APAC,2024-11-22,5,My manager played favorites and everyone could see it and at the same time my coworkers made the hard stretches bearable.
R-1484,Sales,7,IC,NA,2025-06-27,2,"Honestly, the career ladder ended two rungs above where I stood. To be fair, overall a decent run with a quiet ending."
R-1485,Sales,9.5,IC,NA,2025-07-24,5,"Look — I stopped learning anything new a long time ago — and honestly, I am going back to school in the fall."
R-1486,Sales,1.75,IC,EMEA,2024-08-19,4,"Work from home was the one benefit I could not give up. Also, I made friendships here that will outlast the job."
